company_name,sector,offer_price,shares_offered,underwriter_reputation,market_conditions,company_revenue,company_age_years,num_employees,exchange,ipo_outcome
AlphaCorp0,Industrials,7.83,10858532,4,Bull,15.89,9,54,NYSE,Failure
BetaInc1,Finance,35.35,4654256,5,Bear,16.62,67,132,NYSE,Failure
GammaTechnologies2,Real Estate,36.28,2985871,3,Bull,115.79,45,481,NASDAQ,Success
DeltaSystems3,Consumer Goods,15.84,18543384,5,Neutral,318.03,67,684,NASDAQ,Failure
OmegaSolutions4,Technology,26.07,3319763,5,Bull,54.81,15,130,NASDAQ,Failure
NovaGroup5,Telecommunications,18.02,8371591,9,Neutral,1780.37,15,10171,NYSE,Success
ApexHoldings6,Industrials,22.67,23167974,7,Neutral,32.63,1,180,NASDAQ,Success
ZenithLabs7,Industrials,11.32,7536497,4,Bull,151.35,41,665,NYSE,Success
VertexDynamics8,Technology,27.42,1206107,2,Neutral,91.09,34,248,NASDAQ,Failure
QuantumVentures9,Finance,8.84,946926,1,Bear,32.65,76,127,NYSE,Success
NexusGlobal10,Healthcare,8.04,2427495,3,Neutral,390.37,45,477,NYSE,Failure
PulseNetworks11,Real Estate,18.9,6645823,3,Neutral,14.36,75,96,NASDAQ,Success
VortexInnovations12,Energy,18.07,5100177,6,Bull,2.43,21,16,NASDAQ,Failure
CipherPartners13,Industrials,23.02,29712609,5,Bull,45.19,4,95,NASDAQ,Success
HelixEnterprises14,Finance,14.52,5050795,6,Neutral,37.14,67,89,NYSE,Success
PrismDigital15,Technology,51.57,2356195,4,Bull,268.88,1,2173,NYSE,Failure
FluxAnalytics16,Energy,21.76,1052477,6,Neutral,8.38,68,38,NASDAQ,Failure
AetherRobotics17,Technology,22.57,10643259,3,Bull,119.77,41,411,NYSE,Success
TitanBio18,Industrials,22.17,3249263,5,Bear,99.88,47,163,NYSE,Failure
OrionPharma19,Energy,33.16,724951,7,Bear,88.61,17,245,NYSE,Success
StellarCapital20,Industrials,26.79,3342603,5,Bear,261.42,22,321,NASDAQ,Failure
CrestEnergy21,Healthcare,25.05,1207740,6,Neutral,52.71,17,215,NASDAQ,Failure
SummitHealth22,Telecommunications,29.02,2135822,2,Bull,59.04,60,124,NYSE,Failure
PinnacleCorp23,Real Estate,8.07,3289321,1,Bear,107.28,38,467,NASDAQ,Failure
HorizonInc24,Industrials,8.22,1322219,6,Bull,46.86,9,67,NYSE,Success
EclipseTechnologies25,Technology,19.34,2007450,8,Bull,7.17,4,29,NASDAQ,Success
RadiantSystems26,Finance,18.2,1553281,5,Bull,29.5,58,205,NASDAQ,Failure
ForgeSolutions27,Technology,26.84,1595520,10,Bear,37.02,54,292,NYSE,Success
CatalystGroup28,Technology,20.29,1192997,3,Bear,23.49,26,96,NYSE,Failure
SynergyHoldings29,Consumer Goods,26.87,2017229,4,Bull,33.96,29,105,NYSE,Success
MomentumLabs30,Consumer Goods,10.77,1336148,6,Neutral,71.48,65,241,NASDAQ,Failure
ElevateDynamics31,Telecommunications,19.98,5877159,6,Bull,36.2,6,372,NASDAQ,Success
IgniteVentures32,Healthcare,10.27,3995982,4,Neutral,196.56,78,443,NYSE,Success
